Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1745-2758,,1.747244e+09,4.875280e-01,4.420914e-18,4.697922e+10,,,8.473683e-01,4.523465e-01,4.123000e+00,4.220000e+02,,,,,,,,,,,,
J1746-2829,,2.302174e+04,1.888929e+00,1.300000e-12,5.014521e+13,,,4.509846e-01,1.131050e-01,8.235000e+00,1.309000e+03,,,,,,,,,,,,
J1746-2849,,1.844497e+06,1.478480e+00,1.270000e-14,4.384899e+12,,,1.343208e-01,-2.987445e-02,8.193000e+00,1.360000e+03,,,,,,,,,,,,
J1746-2850,,1.270607e+04,1.077101e+00,1.343110e-12,3.848877e+13,,,1.336889e-01,-4.411703e-02,5.485000e+00,9.410000e+02,,,,,,,,,,,,
J1746-2856,,1.198094e+06,9.452243e-01,1.250000e-14,3.478343e+12,,,1.261797e-01,-2.333435e-01,8.142000e+00,1.155000e+03,,,,,,,,,,,,
J1747-2802,,1.862462e+07,2.780079e+00,2.365025e-15,2.594756e+12,,,9.707224e-01,1.213931e-01,5.149000e+00,8.350000e+02,,,,,,,,,,,,
J1747-2809,,5.311513e+03,5.215285e-02,1.555700e-13,2.882385e+12,,,8.690063e-01,7.593564e-02,8.141000e+00,1.133000e+03,,,,,,,,,,,,
J1750-28,,3.564946e+06,1.300513e+00,5.780000e-15,2.774414e+12,,,6.628581e-01,-7.372390e-01,4.069000e+00,3.880000e+02,,,,,,,,,,,,
