Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1721-1936,HE,9.795364e+06,1.004037e+00,1.624035e-15,1.292179e+12,,,4.857293e+00,9.738547e+00,8.000000e+00,7.570000e+01,,2.915860e+02,ELL1,,,6.403124e-03,,,,,,
J1737-0314A,,3.282794e+08,1.979976e-03,9.556138e-20,4.401707e+08,,,2.132595e+01,1.480681e+01,9.100000e+00,8.210000e+01,,2.676651e+02,BT,,,,,,,,,
J1737-0314B,,,8.520000e-03,,,,,2.132383e+01,1.480465e+01,9.100000e+00,8.100000e+01,,2.676651e+02,,,,,,,,,,
J1737-0314C,,,8.460000e-03,,,,,2.132383e+01,1.480465e+01,9.100000e+00,8.000000e+01,,2.676651e+02,,,,,,,,,,
J1737-0314D,,,2.890000e-03,,,,,2.132383e+01,1.480465e+01,9.100000e+00,7.880000e+01,,2.676651e+02,,,,,,,,,,
J1737-0314E,,,2.280000e-03,,,,,2.132383e+01,1.480465e+01,9.100000e+00,8.040000e+01,,2.676651e+02,,,,,,,,,,
J1740-5340A,,3.442617e+08,3.650329e-03,1.680000e-19,7.924477e+08,,,3.381649e+02,-1.196671e+01,2.482000e+00,7.180000e+01,,2.113176e+02,BT,,,,,,,,,
J1740-5340B,,,5.786968e-03,-6.028021e-21,,,,3.381656e+02,-1.196075e+01,2.482000e+00,7.220000e+01,,2.113176e+02,BTX,,,,,,,,,
J1748-2021A,,1.145068e+07,2.886028e-01,3.993331e-16,3.435326e+11,,,7.727916e+00,3.800877e+00,8.200000e+00,2.194000e+02,,1.629847e+02,,,,,,,,,,
J1748-2021B,,,1.676013e-02,-3.291327e-19,,,,7.728646e+00,3.800111e+00,8.200000e+00,2.209220e+02,,1.629847e+02,BT,,,5.701606e-01,,,,,,
J1748-2021C,,,6.226933e-03,-5.982935e-20,,,,7.721503e+00,3.803955e+00,8.200000e+00,2.269500e+02,,1.629847e+02,,,,,,,,,,
J1748-2021D,,3.644141e+08,1.349582e-02,5.867731e-19,2.847638e+09,,,7.733546e+00,3.808967e+00,8.200000e+00,2.249800e+02,,1.629847e+02,BT,,,,,,,,,
J1748-2021E,,8.247364e+08,1.626400e-02,3.124484e-19,2.281145e+09,,,7.730607e+00,3.801971e+00,8.200000e+00,2.241000e+02,,1.629847e+02,,,,,,,,,,
J1748-2021F,,,3.793629e-03,-1.054906e-20,,,,7.727292e+00,3.802121e+00,8.200000e+00,2.204300e+02,,1.629847e+02,BT,,,5.310800e-02,,,,,,
J1748-2446A,,,1.156315e-02,-3.400000e-20,,,,3.836243e+00,1.696326e+00,6.620000e+00,2.421500e+02,,1.759187e+02,BT,,,,,,,,,
J1748-2446C,,,8.436095e-03,-6.060000e-19,,,,3.840920e+00,1.689051e+00,6.620000e+00,2.370000e+02,,1.759187e+02,,,,,,,,,,
J1748-2446D,,,4.713980e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.436200e+02,,1.759187e+02,,,,,,,,,,
