Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1914+1428,,8.421877e+06,1.159520e+00,2.181400e-15,1.609373e+12,,,4.846140e+01,1.487113e+00,6.514000e+00,2.209000e+02,,,,,,,,,,,,
J1914+2636,,1.232501e+09,4.591143e-01,5.902007e-18,5.267569e+10,,,5.926806e+01,7.052650e+00,3.415000e+00,5.903000e+01,,,,,,,,,,,,
J1915+0227,,1.682745e+07,3.173064e-01,2.987627e-16,3.115678e+11,,,3.782482e+01,-4.116925e+00,1.022200e+01,1.920820e+02,,,,,,,,,,,,
J1915+0639,,5.536092e+06,6.441402e-01,1.843500e-15,1.102711e+12,,,4.165458e+01,-2.366291e+00,8.881000e+00,2.125000e+02,,,,,,,,,,,,
J1915+0738,,7.413762e+06,1.542707e+00,3.296939e-15,2.282166e+12,,,4.246560e+01,-1.803426e+00,1.404000e+00,3.900000e+01,,,,,,,,,,,,
J1915+0752,,2.346188e+08,2.058314e+00,1.390000e-16,5.412690e+11,,,4.262305e+01,-1.614318e+00,3.521000e+00,1.041000e+02,,,,,,,,,,,,
J1915+0832g,,,2.710090e+00,,,,,4.321913e+01,-1.320641e+00,1.547000e+00,4.560000e+01,,,,,,,,,,,,
J1915+0838,,3.454079e+06,3.427778e-01,1.572340e-15,7.428986e+11,,,4.333761e+01,-1.295024e+00,1.084000e+01,3.580000e+02,,,,,,,,,,,,
J1915+1009,,4.202633e+05,4.045541e-01,1.525180e-14,2.513616e+12,,,4.470715e+01,-6.505672e-01,7.000000e+00,2.415837e+02,,5.982828e+02,,,,,,,,,,
J1915+1045g,RRAT,,1.546000e+00,,,,,4.523139e+01,-3.842609e-01,3.704000e+00,1.230000e+02,,,,,,,,,,,,
